movieNm,movieCd,audiAcc
스파이더맨: 파 프롬 홈,20196309,6685160
알라딘,20183867,10161238
토이 스토리 4,20184047,3151062
기방도령,20185353,220182
극장판 엉덩이 탐정: 화려한 사건 수첩,20191601,101245
진범,20185986,106756
기생충,20183782,9919835
미드소마,20192151,45707
애나벨 집으로,20199951,459037
존 윅 3: 파라벨룸,20196655,913066
천로역정: 천국을 찾아서,20190273,228365
롱 리브 더 킹: 목포 영웅,20198453,1076588
BIFAN2019 판타스틱 단편 걸작선 1,20192591,25000
별의 정원,20192689,8125
비스트,20182585,177340
마담 싸이코,20192022,37437
어벤져스: 엔드게임,20184889,13918759
맨 인 블랙: 인터내셔널,20196657,816386
사탄의 인형,20190885,46546
이웃집 토토로,19880001,155441
세상을 바꾼 변호인,20190466,31379
엑스맨: 다크 피닉스,20182387,845012
업사이드,20191401,30244
로켓맨,20198291,98703
빅샤크2: 해저2만리,20199063,44189
악인전,20188941,3346654
고질라: 킹 오브 몬스터,20184865,352862
0.0MHz,20188144,133522
걸캅스,20184082,1618601
피터팬: 후크 선장과 결투의 날,20192001,9582
교회오빠,20198597,65399
어린 의뢰인,20199448,193949
더 보이,20199822,71613
배심원들,20187981,270270
명탐정 피카츄,20198598,680420
언더 더 씨2,20190261,9869
나의 특별한 형제,20185784,1430791
뽀로로 극장판 보물섬 대모험,20198183,752508
서스페리아,20197503,19684
호텔 뭄바이,20185384,61163
라플라스의 마녀,20199923,7209
벤 이즈 백,20199949,6999
고양이 여행 리포트,20199623,7161
어글리 돌,20197147,37541
판의 미로 - 오필리아와 세 개의 열쇠,20060347,482408
프렌즈: 둥지탈출,20199736,10185
미스 스티븐스,20199189,8943
캡틴 마블,20181877,5796057
안도 타다오,20169323,18100
생일,20183096,1168386
요로나의 저주,20183454,197125
노팅 힐,19990220,49958
미성년,20180825,279305
크게 될 놈,20198982,90320
바이스,20198104,131698
헬보이,20185406,311910
돈,20176103,3378078
왓칭,20182501,46139
샤잠!,20196244,636971
공포의 묘지,20197423,87134
어스,20185352,1450902
아이 엠 마더,20198844,52093
파이브 피트,20198403,67395
장난스런 키스,20183773,318784
덤보,20196025,296253
로망,20197092,46938
콜레트,20198146,35223
고릴라와 슈퍼레이스,20198023,5158
악질경찰,20197846,254451
썬키스 패밀리,20166301,26086
더 길티,20197987,22091
우상,20175407,175481
이스케이프 룸,20197283,544462
정글북: 마법 원정대,20197617,22534
페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,20198603,24340
라스트 미션,20197356,93476
그린 북,20184574,409871
항거:유관순 이야기,20196601,1128895
극한직업,20182530,16243231
증인,20185881,2519150
숲속왕국의 꿀벌 여왕,20196723,18305
사바하,20177539,2389760
리노,20177282,16489
더 페이버릿: 여왕의 여자,20180937,133508
신데렐라:마법 반지의 비밀,20195743,281705
더 와이프,20196323,26884
자전차왕 엄복동,20176442,154330
드래곤 길들이기 3,20186261,1498759
"어쩌다, 결혼",20195791,70827
알리타: 배틀 엔젤,20188282,1885346
해리포터와 비밀의 방,20020222,79301
콜드 체이싱,20185576,78303
해피 데스데이 2 유,20195915,392397
메리 포핀스 리턴즈,20184888,199519
기묘한 가족,20174169,216254
명탐정 코난:전율의 악보,20162003,83376
극장판 헬로카봇: 옴파로스 섬의 비밀,20185478,558144
드래곤볼 슈퍼: 브로리,20195984,27730
뺑반,20180868,1732194
레고 무비2,20185444,71030
러브 유어셀프 인 서울,20185124,342366
말모이,20184105,2848736
가버나움,20184896,87787
내안의 그놈,20176251,1871124
주먹왕 랄프 2: 인터넷 속으로,20189463,1735231
글래스,20182544,452460
언더독,20186324,176837
몬스터 파크,20189385,30571
극장판 공룡메카드: 타이니소어의 섬,20183915,406019
미래의 미라이,20182588,77985
구스 베이비,20182044,60505
보헤미안 랩소디,20185485,9866810
아쿠아맨,20180290,5019235
범블비,20186281,1553491
PMC: 더 벙커,20170658,1665200
명탐정 코난 : 제로의 집행인,20187427,414506
언니,20184187,172338
스윙키즈,20175547,1428005
점박이 한반도의 공룡2 : 새로운 낙원,20183785,521053
극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,20183479,341069
마약왕,20168773,1787825
그린치,20182421,458814
스파이더맨: 뉴 유니버스,20183238,628327
극장판 포켓몬스터 모두의 이야기,20183375,86997
국가부도의 날,20177552,3723913
호두까기 인형과 4개의 왕국,20189843,471617
도어락,20179230,1427392
부탁 하나만 들어줘,20182082,87501
런닝맨 : 풀룰루의 역습,20183745,180709
엘리엇과 산타 썰매단,20183685,43148
완벽한 타인,20177538,5270621
모털 엔진,20178825,203372
성난황소,20184481,1567264
번개맨의 비밀,20183650,35256
헌터 킬러,20183288,30450
후드,20181905,227258
신비한 동물들과 그린델왈드의 범죄,20176814,2362181
투 프렌즈,20182966,20419
베일리 어게인,20183073,78439
거미줄에 걸린 소녀,20183007,25172
바울,20181171,229837
번 더 스테이지: 더 무비,20183050,298402
캡틴 샤키,20183043,11106
출국,20182935,71407
툴리,20182669,24325
동네사람들,20170513,445625
너의 췌장을 먹고 싶어,20186822,33882
로빈슨의 언더워터 어드벤처,20183009,12242
여곡성,20179006,55997
해리포터와 마법사의 돌,20010291,259733
창궐,20174981,1588443
벽 속에 숨은 마법시계,20181404,211233
박물관이 진짜 살아있다,20183063,19771
구스범스: 몬스터의 역습,20182693,21400
할로윈,20180987,90492
스타 이즈 본,20180523,425140
미쓰백,20189067,710780
암수살인,20179189,3777611
베놈,20177221,3851409
퍼스트맨,20186321,630470
크레이지 리치 아시안,20182403,106285
윌리,20181669,16104
곰돌이 푸 다시 만나 행복해,20189123,458896
안시성,20176122,5413370
배반의 장미,20184678,29890
펭귄 하이웨이,20187521,25631
액슬,20180628,12152
다이노 어드벤처2: 육해공 공룡 대백과,20180770,34822
노크: 초대받지 않은 손님,20181262,17859
에브리데이,20188661,21620
킨: 더 비기닝,20180624,11928
협상,20177308,1931934
셜록 놈즈,20189462,59338
명당,20172204,2066465
원더풀 고스트,20167903,439910
더 넌,20189262,1007366
서치,20185046,2944333
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,20188304,151054
루이스,20189268,89501
에그엔젤 코코밍: 두근두근 핼러윈 파티,20180167,42980
파이널 포트레이트,20189743,8752
물괴,20156554,702096
극장판 뽀잉: 슈퍼 변신의 비밀,20189746,15592
너의 결혼식,20153446,2772819
더 프레데터,20188581,149398
업그레이드,20189362,178153
맘마미아!2,20181942,2280120
신과함께-인과 연,20186202,12264813
상류사회,20177537,760945
바니부기: 드래곤 에그를 찾아서,20188342,13649
공작,20179101,4968325
어드리프트:우리가 함께한 바다,20189261,41977
목격자,20170670,2512159
양말요정 휴고의 대모험,20188446,18579
나를 차버린 스파이,20187647,235053
몬스터 호텔 3,20184802,1056829
그래비티,20139221,3262924
미션 임파서블: 폴아웃,20181181,6528842
메가로돈,20183584,515536
마일22,20187657,51350
극장판 도라에몽: 진구의 보물섬,20187641,138640
극장판 헬로카봇 : 백악기 시대,20186501,854230
인크레더블 2,20183361,2998015
어느 가족,20186121,123887
신비아파트: 금빛 도깨비와 비밀의 동굴,20185242,667879
인랑,20170942,891308
더 스퀘어,20179044,6477
앤트맨과 와스프,20180522,5444801
